club_id,stadium_id,club_name
120,133,Arsenal
121,134,Aston Villa
122,135,Barnsley
123,136,Birmingham City
124,137,Blackburn Rovers
125,138,Blackpool
126,139,Bolton Wanderers
127,140,AFC Bournemouth
128,141,Bradford City
129,142,Brentford
130,143,Brighton and Hove Albion
131,144,Burnley
132,145,Cardiff City
133,146,Charlton Athletic
134,147,Chelsea
135,148,Coventry City
136,149,Crystal Palace
137,150,Derby County
138,151,Everton
139,152,Fulham
140,153,Huddersfield Town
141,154,Hull City
142,155,Ipswich Town
143,156,Leeds United
144,157,Leicester City
145,158,Liverpool
146,159,Manchester City
147,160,Manchester United
148,161,Middlesbrough
149,162,Newcastle United
150,163,Norwich City
151,164,Nottingham Forest
152,165,Oldham Athletic
153,166,Portsmouth
154,167,Queens Park Rangers
155,168,Reading
156,169,Sheffield United
157,170,Sheffield Wednesday
158,171,Southampton
159,172,Stoke City
160,173,Sunderland
161,174,Swansea City
162,175,Swindon Town
163,176,Tottenham Hotspur
164,177,Watford
165,178,West Bromwich Albion
166,179,West Ham United
167,180,Wigan Athletic
168,149,Wimbledon
171,322,Wolverhampton Wanderers
