stadium_id,stadium_name,city
133,Emirates Stadium,London
134,Villa Park,Birmingham
135,Oakwell,Barnsley
136,St. Andrew's Trillion Trophy Stadium,Birmingham
137,Ewood Park,Blackburn
138,Bloomfield Road,Blackpool
139,University of Bolton Stadium,Bolton
140,Vitality Stadium,Bournemouth
141,Valley Parade,Bradford
142,Brentford Community Stadium,London
143,Amex Stadium,Falmer
144,Turf Moor,Burnley
145,Cardiff City Stadium,Cardiff
146,The Valley,London
147,Stamford Bridge,London
148,Highfield Road,Coventry
149,Selhurst Park,London
150,Pride Park Stadium,Derby
151,Goodison Park,Liverpool
152,Craven Cottage,London
153,John Smith's Stadium,Huddersfield
154,KCOM Stadium,Hull
155,Portman Road,Ipswich
156,Elland Road,Leeds
157,King Power Stadium,Leicester
158,Anfield,Liverpool
159,Etihad Stadium,Manchester
160,Old Trafford,Manchester
161,Riverside Stadium,Middlesbrough
162,St. James' Park,Newcastle
163,Carrow Road,Norwich
164,City Ground,Nottingham
165,Boundary Park,Oldham
166,Fratton Park,Portsmouth
167,Loftus Road,London
168,Madejski Stadium,Reading
169,Bramall Lane,Sheffield
170,Hillsborough,Sheffield
171,St. Mary's Stadium,Southampton
172,bet365 Stadium,Stoke
173,Stadium of Light,Sunderland
174,Liberty Stadium,Swansea
175,County Ground,Swindon
176,Tottenham Hotspur Stadium,London
177,Vicarage Road,Watford
178,The Hawthorns,West Bromwich
179,London Stadium,London
180,DW Stadium,Wigan
231,Highbury,London
232,Ayresome Park,Middlesbrough
233,Maine Road,Manchester
234,White Hart Lane,London
235,The Dell,Southampton
240,Boleyn Ground,London
244,Filbert Street,Leicester
245,Burnden Park,Bolton
246,Baseball Ground,Derby
247,Roker Park,Sunderland
284,Macron Stadium,Bolton
285,iPro Stadium,Derby
322,Molineux Stadium,Wolverhampton
323,St. Andrew's Stadium,Birmingham
324,Sports Direct Arena,Newcastle
325,Molineux,Wolverhampton
326,The Friends Provident St Mary's Stadium,Southampton
327,St Andrews,Birmingham
328,Britannia Stadium,Stoke
329,Kiyan Prince Foundation Stadium,London
330,St James' Park,Newcastle
331,Goldsands Stadium,Bournemouth
332,Wembley Stadium,London
